,dEVI,Grid,Range
3018,2550.5,AUB,SK
3019,2405,AUB,SK
3020,2405,AUB,SK
3021,2121.5,AUB,SK
3022,2121.5,AUB,SK
3023,2107,AUB,SK
3024,2107,AUB,SK
3025,2340.5,AUB,SK
3026,2340.5,AUB,SK
3027,2568,AUB,SK
3028,2568,AUB,SK
3029,2492.5,AUB,SK
3030,2492.5,AUB,SK
3031,2434,AUB,SK
3032,2434,AUB,SK
3033,2930.5,AUB,SK
3034,2930.5,AUB,SK
3035,3230.5,AUB,SK
3036,3230.5,AUB,SK
3037,3035,AUB,SK
3038,3035,AUB,SK
3039,2948.5,AUB,SK
3040,2948.5,AUB,SK
3041,1958,AUB,SK
3042,1958,AUB,SK
3043,1831,AUB,SK
3044,1831,AUB,SK
3045,2010,AUB,SK
3046,2010,AUB,SK
3047,1765.5,AUB,SK
3048,1765.5,AUB,SK
3049,1635,AUB,SK
3050,1635,AUB,SK
3051,1500,AUB,SK
3052,1500,AUB,SK
3053,1926.5,AUB,SK
3054,1926.5,AUB,SK
3055,2865.5,AUB,SK
3056,2865.5,AUB,SK
3057,3315,AUB,SK
3058,3315,AUB,SK
3059,2678,AUB,SK
3060,2678,AUB,SK
3061,2600.5,AUB,SK
3062,2600.5,AUB,SK
3063,2553,AUB,SK
3064,2645,AUB,SK
3065,2645,AUB,SK
3066,1391,AUB,SK
3067,1391,AUB,SK
3068,1945,AUB,SK
3069,1945,AUB,SK
3070,2233.5,AUB,SK
3071,2233.5,AUB,SK
3072,2550.5,AUB,SK
3073,2550.5,AUB,SK
3074,2405,AUB,SK
3075,2405,AUB,SK
3076,2121.5,AUB,SK
3077,2121.5,AUB,SK
3078,2107,AUB,SK
3079,2107,AUB,SK
3080,2340.5,AUB,SK
3081,2340.5,AUB,SK
3082,2568,AUB,SK
3083,2568,AUB,SK
3084,2492.5,AUB,SK
3085,2492.5,AUB,SK
3086,2434,AUB,SK
3087,2434,AUB,SK
3088,2930.5,AUB,SK
3089,2930.5,AUB,SK
3090,3230.5,AUB,SK
3091,3230.5,AUB,SK
3092,3035,AUB,SK
3093,3035,AUB,SK
3094,2948.5,AUB,SK
3095,2948.5,AUB,SK
3096,1958,AUB,SK
3097,1958,AUB,SK
3098,1831,AUB,SK
3099,1831,AUB,SK
3100,2010,AUB,SK
3101,2010,AUB,SK
3102,1765.5,AUB,SK
3103,1765.5,AUB,SK
3104,1635,AUB,SK
3105,1635,AUB,SK
3106,1500,AUB,SK
3107,1500,AUB,SK
3108,1926.5,AUB,SK
3109,1926.5,AUB,SK
3110,2865.5,AUB,SK
3111,2865.5,AUB,SK
3112,3315,AUB,SK
3113,3315,AUB,SK
3114,2678,AUB,SK
3115,2678,AUB,SK
3116,2600.5,AUB,SK
3117,1952.5,AUB,SK
3118,2045,AUB,SK
3119,2045,AUB,SK
3120,1531.5,AUB,SK
3121,1531.5,AUB,SK
3122,1831,AUB,SK
3123,1831,AUB,SK
3124,2429.5,AUB,SK
3125,2429.5,AUB,SK
3126,2559,AUB,SK
3127,2559,AUB,SK
3128,2148.5,AUB,SK
3129,2148.5,AUB,SK
3130,2337,AUB,SK
3131,2337,AUB,SK
3132,2272,AUB,SK
3133,2272,AUB,SK
3134,2254.5,AUB,SK
3135,2254.5,AUB,SK
3136,2428.5,AUB,SK
3137,2428.5,AUB,SK
3138,2094,AUB,SK
3139,2094,AUB,SK
3140,2216.5,AUB,SK
3141,2216.5,AUB,SK
3142,3185.5,AUB,SK
3143,3185.5,AUB,SK
3144,3219,AUB,SK
3145,3219,AUB,SK
3146,3562,AUB,SK
3147,3562,AUB,SK
3148,2652,AUB,SK
3149,2652,AUB,SK
3150,2731,AUB,SK
3151,2731,AUB,SK
3152,2317,AUB,SK
3153,2317,AUB,SK
3154,1985,AUB,SK
3155,1985,AUB,SK
3156,1933,AUB,SK
3157,1933,AUB,SK
3158,1892.5,AUB,SK
3159,1892.5,AUB,SK
3160,1593,AUB,SK
3161,1593,AUB,SK
3162,1589,AUB,SK
3163,1589,AUB,SK
3164,2951.5,AUB,SK
3165,2951.5,AUB,SK
3166,3239.5,AUB,SK
3167,3239.5,AUB,SK
3168,3023.5,AUB,SK
3169,3023.5,AUB,SK
3170,2597,AUB,SK
3171,1952.5,AUB,SK
3172,1952.5,AUB,SK
3173,2045,AUB,SK
3174,2045,AUB,SK
3175,1531.5,AUB,SK
3176,1531.5,AUB,SK
3177,1831,AUB,SK
3178,1831,AUB,SK
3179,2429.5,AUB,SK
3180,2429.5,AUB,SK
3181,2559,AUB,SK
3182,2559,AUB,SK
3183,2148.5,AUB,SK
3184,2148.5,AUB,SK
3185,2337,AUB,SK
3186,NA,AUB,SK
3187,2272,AUB,SK
3188,2272,AUB,SK
3189,2254.5,AUB,SK
3190,2254.5,AUB,SK
3191,2428.5,AUB,SK
3192,2428.5,AUB,SK
3193,2094,AUB,SK
3194,2094,AUB,SK
3195,2216.5,AUB,SK
3196,2216.5,AUB,SK
3197,3185.5,AUB,SK
3198,3185.5,AUB,SK
3199,3219,AUB,SK
3200,3219,AUB,SK
3201,3562,AUB,SK
3202,3562,AUB,SK
3203,2652,AUB,SK
3204,2652,AUB,SK
3205,2731,AUB,SK
3206,2731,AUB,SK
3207,2317,AUB,SK
3208,2317,AUB,SK
3209,1985,AUB,SK
3210,1985,AUB,SK
3211,1933,AUB,SK
3212,1933,AUB,SK
3213,1892.5,AUB,SK
3214,1892.5,AUB,SK
3215,1593,AUB,SK
3216,1593,AUB,SK
3217,1589,AUB,SK
3218,1589,AUB,SK
3219,2951.5,AUB,SK
3220,2951.5,AUB,SK
3221,3239.5,AUB,SK
3222,3239.5,AUB,SK
3223,3023.5,AUB,SK
3224,3023.5,AUB,SK
3225,1993.5,AUB,SK
3226,1993.5,AUB,SK
3227,1513.5,AUB,SK
3228,1513.5,AUB,SK
3229,1484,AUB,SK
3230,1484,AUB,SK
3231,1954.5,AUB,SK
3232,1954.5,AUB,SK
3233,2320.5,AUB,SK
3234,2320.5,AUB,SK
3235,2334.5,AUB,SK
3236,2334.5,AUB,SK
3237,1938.5,AUB,SK
3238,1938.5,AUB,SK
3239,2525.5,AUB,SK
3240,NA,AUB,SK
3241,2841.5,AUB,SK
3242,2841.5,AUB,SK
3243,2418,AUB,SK
3244,2418,AUB,SK
3245,2404,AUB,SK
3246,2404,AUB,SK
3247,1850,AUB,SK
3248,1850,AUB,SK
3249,2976.5,AUB,SK
3250,2976.5,AUB,SK
3251,3149,AUB,SK
3252,3149,AUB,SK
3253,3499.5,AUB,SK
3254,3499.5,AUB,SK
3255,3516,AUB,SK
3256,3516,AUB,SK
3257,3048.5,AUB,SK
3258,3048.5,AUB,SK
3259,2912,AUB,SK
3260,2912,AUB,SK
3261,2313,AUB,SK
3262,2313,AUB,SK
3263,2102,AUB,SK
3264,2102,AUB,SK
3265,2268,AUB,SK
3266,2268,AUB,SK
3267,1834,AUB,SK
3268,1834,AUB,SK
3269,1640,AUB,SK
3270,1640,AUB,SK
3271,1844,AUB,SK
3272,1844,AUB,SK
3273,2830,AUB,SK
3274,2830,AUB,SK
3275,4051,AUB,SK
3276,4051,AUB,SK
3277,2555,AUB,SK
3278,2555,AUB,SK
3279,1923.5,AUB,SK
3280,1993.5,AUB,SK
3281,1993.5,AUB,SK
3282,1513.5,AUB,SK
3283,1513.5,AUB,SK
3284,1484,AUB,SK
3285,1484,AUB,SK
3286,1954.5,AUB,SK
3287,1954.5,AUB,SK
3288,2320.5,AUB,SK
3289,2320.5,AUB,SK
3290,2334.5,AUB,SK
3291,2334.5,AUB,SK
3292,1938.5,AUB,SK
3293,1938.5,AUB,SK
3294,2525.5,AUB,SK
3295,NA,AUB,SK
3296,2841.5,AUB,SK
3297,2841.5,AUB,SK
3298,2418,AUB,SK
3299,2418,AUB,SK
3300,2404,AUB,SK
3301,2404,AUB,SK
3302,1850,AUB,SK
3303,1850,AUB,SK
3304,2976.5,AUB,SK
3305,2976.5,AUB,SK
3306,3149,AUB,SK
3307,3149,AUB,SK
3308,3499.5,AUB,SK
3309,3499.5,AUB,SK
3310,3516,AUB,SK
3311,3516,AUB,SK
3312,3048.5,AUB,SK
3313,3048.5,AUB,SK
3314,2912,AUB,SK
3315,2912,AUB,SK
3316,2313,AUB,SK
3317,2313,AUB,SK
3318,2102,AUB,SK
3319,2102,AUB,SK
3320,2268,AUB,SK
3321,2268,AUB,SK
3322,1834,AUB,SK
3323,1834,AUB,SK
3324,1640,AUB,SK
3325,1640,AUB,SK
3326,1844,AUB,SK
3327,1844,AUB,SK
3328,2830,AUB,SK
3329,2830,AUB,SK
3330,4051,AUB,SK
3331,4051,AUB,SK
3332,2555,AUB,SK
3333,1676.5,AUB,SK
3334,1429.5,AUB,SK
3335,1429.5,AUB,SK
3336,1267.5,AUB,SK
3337,1267.5,AUB,SK
3338,1307.5,AUB,SK
3339,1307.5,AUB,SK
3340,1763,AUB,SK
3341,1763,AUB,SK
3342,2106.5,AUB,SK
3343,2106.5,AUB,SK
3344,2237,AUB,SK
3345,2237,AUB,SK
3346,2264.5,AUB,SK
3347,2264.5,AUB,SK
3348,2381.5,AUB,SK
3349,NA,AUB,SK
3350,2732,AUB,SK
3351,2732,AUB,SK
3352,2348,AUB,SK
3353,2348,AUB,SK
3354,2104,AUB,SK
3355,2104,AUB,SK
3356,1884.5,AUB,SK
3357,1884.5,AUB,SK
3358,2584,AUB,SK
3359,2584,AUB,SK
3360,3012,AUB,SK
3361,3012,AUB,SK
3362,2923.5,AUB,SK
3363,2923.5,AUB,SK
3364,3131,AUB,SK
3365,3131,AUB,SK
3366,3117.5,AUB,SK
3367,3117.5,AUB,SK
3368,2674,AUB,SK
3369,2674,AUB,SK
3370,1896,AUB,SK
3371,1896,AUB,SK
3372,2031.5,AUB,SK
3373,2031.5,AUB,SK
3374,1968.5,AUB,SK
3375,1968.5,AUB,SK
3376,1734.5,AUB,SK
3377,1734.5,AUB,SK
3378,1968.5,AUB,SK
3379,1968.5,AUB,SK
3380,2406.5,AUB,SK
3381,2406.5,AUB,SK
3382,3261,AUB,SK
3383,3261,AUB,SK
3384,3882,AUB,SK
3385,3882,AUB,SK
3386,2799.5,AUB,SK
3387,1676.5,AUB,SK
3388,1676.5,AUB,SK
3389,1429.5,AUB,SK
3390,1429.5,AUB,SK
3391,1267.5,AUB,SK
3392,1267.5,AUB,SK
3393,1307.5,AUB,SK
3394,1307.5,AUB,SK
3395,1763,AUB,SK
3396,1763,AUB,SK
3397,2106.5,AUB,SK
3398,2106.5,AUB,SK
3399,2237,AUB,SK
3400,2237,AUB,SK
3401,2264.5,AUB,SK
3402,2264.5,AUB,SK
3403,2381.5,AUB,SK
