,Grid,Disturbance,Range
1761,AUB,0.368127309,SK
1771,MAL,0,SK
1781,LRN,0,SK
1791,DEW,24.40973204,SK
1801,MCC,0,SK
1811,AUB,0.685832873,SK
1821,MAL,0,SK
1831,LRN,0,SK
1841,DEW,3.620738697,SK
1851,MCC,0,SK
1861,AUB,0.6565732,SK
1871,MAL,0,SK
1881,LRN,0,SK
1891,DEW,5.551748912,SK
1901,MCC,0,SK
1911,AUB,0.516234764,SK
1921,MAL,3.555141488,SK
1931,LRN,0,SK
1941,DEW,18.87444713,SK
1951,MCC,0,SK
1961,AUB,0,SK
1971,MAL,9.587391255,SK
1981,LRN,0.187454249,SK
1991,DEW,34.54108128,SK
2001,MCC,0,SK
2011,AUB,8.440626913,SK
2021,MAL,0,SK
2031,LRN,0,SK
2041,DEW,3.924760512,SK
2051,MCC,0,SK
2061,AUB,39.73618531,SK
2071,MAL,1.560692171,SK
2081,LRN,0,SK
2091,DEW,20.26100335,SK
2101,MCC,0,SK
2111,AUB,4.996734305,SK
2121,MAL,4.208799612,SK
2131,LRN,0,SK
2141,DEW,16.52234807,SK
2151,MCC,0,SK
2161,AUB,0,SK
2171,MAL,14.37887464,SK
2181,LRN,0,SK
2191,DEW,5.551748912,SK
2201,MCC,0,SK
2211,AUB,24.72530632,SK
2221,MAL,6.343298683,SK
2231,LRN,0,SK
2241,DEW,5.258233932,SK
2251,MCC,0,SK
2261,AUB,12.57628795,SK
2271,MAL,5.731806752,SK
2281,LRN,0,SK
2291,DEW,35.94609062,SK
2301,MCC,0,SK
2311,AUB,15.57153428,SK
2321,MAL,33.22576838,SK
2331,LRN,0,SK
2341,DEW,31.38076254,SK
2351,MCC,0,SK
2361,AUB,9.197888506,SK
2371,MAL,19.91755577,SK
2381,LRN,0,SK
2391,DEW,10.65116611,SK
2401,MCC,0,SK
2411,AUB,27.72952697,SK
2421,MAL,1.311873353,SK
2431,LRN,0,SK
2441,DEW,8.083432486,SK
2451,MCC,0,SK
2461,AUB,38.98826235,SK
2471,MAL,6.57125313,SK
2481,LRN,0,SK
2491,DEW,46.36393569,SK
2501,MCC,0,SK
2511,AUB,20.44502626,SK
2521,MAL,33.22576838,SK
2551,MCC,0,SK
2561,AUB,0,SK
2571,MAL,0,SK
2601,MCC,0,SK
